Codice Scuola;Classe;Sezione;Disciplina;Titolo;Autori;Editore;ISBN;Volume;Prezzo;Nuova Adozione;Da Acquistare;Consigliato
CZ1M00100B;1;A;RELIGIONE CATTOLICA/ATTIVITA' ALTERNATIVA;NUOVO CHE VITA (IL);DAL BIANCO DARIO - FIORINI NICOLA - MARANA ANTONIO;LA SPIGA;9788846841650;U;;No;Sì;No
CZ1M00100B;1;A;MUSICA;ARMONIE + EBOOK;PAOLI R  MASCARI G  VENEZI  B  ;PETRINI;9788849425000;U;;No;Sì;No
CZ1M00100B;1;A;ARTE E IMMAGINE;ANTEPRIMA SULL'ARTE;LAZOTTI LUCIA - DE PADOVA MARIANNA ;BULGARINI;9788823434103;U;;No;Sì;No
CZ1M00100B;1;A;LINGUA INGLESE;AND YOU? GREEN EDITION + EBOOK;TIMS N  SVED R  LINWOOD P  GUGLIELMINO D  ;PETRINI;9788849426526;1;;No;Sì;No
CZ1M00100B;1;A;TECNOLOGIA;FUTURA - CORSO DI TECNOLOGIA - EDIZIONE LIGHT;A  DELPIANO - M  GIUSIANO - E  GOLDSCHMIDT;PARAVIA;9788839564375;U;;No;Sì;No
CZ1M00100B;1;A;SCIENZE MOTORIE E SPORTIVE;LET'S MOVE - STAR BENE INSIEME - VOLUME+QUADERNO COMPETENZE+EBOOK;MONTEFORTE BIANCHI NICOLETTA - SPILIMBERGO GIANLUIGI ENEA - CHIESA ELISABETTA FIORINI G;MARIETTI SCUOLA;9788839303875;U;;No;Sì;No
CZ1M00100B;1;A;SECONDA LINGUA COMUNITARIA (SPAGNOLO);¡QUÉ ALEGRIA! - EDICIÓN COMPACTA;FANCIULLO NELLO - PEREZ ANA IRENE GARCIA - ALMARZA DURAN MABEL;LANG EDIZIONI;9788861619951;U;;No;Sì;No
CZ1M00100B;1;A;SCIENZE;VIAGGIO DEL BEAGLE (IL);PIETRA A - PEROTTI B ;LATTES;9788869175626;1;;No;Sì;No
CZ1M00100B;1;A;MATEMATICA;OPEN MATH - EDIZIONE TEMATICA+EBOOK;MONTEMURRO A  BOMBARDELLI E  DALLA TORRE G  ;DEASCUOLA;9791255312215;1;;No;Sì;No
CZ1M00100B;1;A;STORIA;STORIA È PRESENTE+EBOOK (LA);PERSICO R GREPPI C  ;GARZANTI SCUOLA;9791254550274;1;;No;Sì;No
