CZCT70000V,CATANZARO-SEDE ASSOCIATA CPIA DI CZ,CENTRO TERRITORIALE
CZVC03000G,"I.I.S CATANZARO ""V.EMANEULE II"" CONVITTO",CONVITTO ANNESSO
CZVC01000A,CONV. N. GALLUPPI CON INF.PRIM.I G.L.CL.,CONVITTO NAZIONALE
CZRI02401A,"IPSIA ""G.FERRARIS"" CATANZARO IS",IST PROF INDUSTRIA E ARTIGIANATO
CZRI02451Q,"IPSIA ""G.FERRARIS"" CATANZARO SERALE IS",IST PROF INDUSTRIA E ARTIGIANATO
CZRI02101V,"POLO DID.CARCE.C.C.""U.CARIDI""-ISTIT.PROF",IST PROF INDUSTRIA E ARTIGIANATO
CZRH02101B,POLO DID.CARCERAR I.P.M.- ISTIT.PROFESS.,IST PROF PER I SERVIZI ALBERGHIERI E RISTORAZIONE
CZRC02401N,"IPSCT ""SORACE MARESCA"" CATANZARO IS",IST PROF PER I SERVIZI COMMERCIALI E TURISTICI
CZRC024513,"SERALE IPSCT ""SORACE MARESCA"" CATANZARO",IST PROF PER I SERVIZI COMMERCIALI E TURISTICI
CZIC86000N,IC CATANZARO CASALINUOVO SUD,ISTITUTO COMPRENSIVO
CZIC86700C,IC CATANZARO V.VIVALDI,ISTITUTO COMPRENSIVO
CZIC85800N,ICCZ MATERDOMINI-NORDESTMANZONI,ISTITUTO COMPRENSIVO
CZIC85200P,ICCZ PATARI-RODARI-PASC-ALDISIO,ISTITUTO COMPRENSIVO
CZIC856002,ICCZ SALA S MARIA MILANI-PRETI,ISTITUTO COMPRENSIVO
CZSD021014,POLO DIDATTICO CARCERARIO I.P.M. -LICEO,ISTITUTO D'ARTE
CZPM00101D,"IM ""CASSIODORO"" CATANZARO -I.S.-",ISTITUTO MAGISTRALE
CZPM02201E,"IM ""GIOVANNA DE NOBILI"" CATANZARO IS",ISTITUTO MAGISTRALE
CZIS021007,"I.I.S. ""V. EMANUELE II - B. CHIMIRRI""",ISTITUTO SUPERIORE
CZIS001002,"IS ""FERMI"" CATANZARO",ISTITUTO SUPERIORE
CZIS02400P,"P.T.P. ""GRIMALDI-PACIOLI-PETRUCCI-F.M.""",ISTITUTO SUPERIORE
CZIS022003,"POLO LICEALE ""L. SICILIANI-G. DE NOBILI""",ISTITUTO SUPERIORE
