Codice Scuola;Nome Scuola;Classe;Sezione;Disciplina;Titolo;Autori;Editore;ISBN;Volume;Prezzo;Nuova Adozione;Da Acquistare;Consigliato
CZMM00300E;;1;A;ARTE E IMMAGINE;INCONTRO CON L'ARTE + EB;ORTONA  GIANNINI  ZAFFARONI  COSULICH  MELLINO;DEASCUOLA;9791255315513;U;26.00;Sì;Sì;No
CZMM00300E;;1;A;EDUCAZIONE CIVICA;INSIEME PER IL MONDO CHE VOGLIAMO-PERCORSI DI EDUCAZIONE CIVICA+EBOOK;FRANZINI M  PAPPALARDO L - ROSSATO A  BALOSSI N;GARZANTI SCUOLA;9788869646676;U;15.25;No;No;No
CZMM00300E;;1;A;GEOGRAFIA;GEOAGENDA EDIZIONE ROSSA - VOLUME 1 CON LE REGIONI ITALIANE (LDM);TONDELLI CARLA;ZANICHELLI EDITORE;9788808431813;1;20.40;No;Sì;No
CZMM00300E;;1;A;ITALIANO;A VOI LE PAROLE - CONFEZIONE VOLUME A + QUADERNO (LDM);SERAFINI TERESA - FORNILI FLAVIA;ZANICHELLI EDITORE;9788808533784;U;28.80;Sì;Sì;No
CZMM00300E;;1;A;ITALIANO;GRANDE GIOCO DELLE STORIE + EBOOK (IL);CORTI A  BANDINI A  CABRELLE A  CASTAGNA M - FRANZINI M  ROSSATO A  TRULLI S - ZAFFARONI P  MOROSINOTTO D;GARZANTI SCUOLA;9791254550915;1;29.35;No;Sì;No
CZMM00300E;;1;A;LINGUA INGLESE;WITHOUT BARRIERS;DI SCANNO SERGIO;MEDUSA EDITRICE;9788864322407;U;15.50;No;No;No
CZMM00300E;;1;A;LINGUA INGLESE;MY ROUTE - VOLUME 1 (LDM);DOOLEY JENNY;ZANICHELLI EDITORE;9788808799746;1;23.60;No;Sì;No
CZMM00300E;;1;A;MATEMATICA;OPEN MATH - EDIZIONE CURRICOLARE+EBOOK;MONTEMURRO A  BOMBARDELLI E  DALLA TORRE G;DEASCUOLA;9791255312314;1;27.75;No;Sì;No
CZMM00300E;;1;A;MUSICA;D'AMORE E D'ACCORDI - TUTTO IN UNO+EB;PAOLI  FERRARIN BOLZAN;PETRINI;9788849433814;U;24.80;Sì;Sì;No
CZMM00300E;;1;A;RELIGIONE CATTOLICA/ATTIVITA' ALTERNATIVA;STORIA PIÙ GRANDE - NUOVA EDIZIONE + EBOOK (LA);CERA TOMMASO;MARIETTI SCUOLA;9788839304339;U;20.30;Sì;Sì;No
CZMM00300E;;1;A;SCIENZE;OSSERVARE E CAPIRE LE SCIENZE 2ED. - VOLUME 1 (LDM);SARACENI SILVIA - STRUMIA GIORGIO;ZANICHELLI EDITORE;9788808753335;1;18.20;No;Sì;No
